year,vin,makename,modelname,color,status
2014,3C6UR4CLXEG133668,Ram,2500,Pw7 Bright White Cle,S
2014,3C6UR5FL4EG133585,Ram,2500,Pw7 Bright White Cle,S
2014,3C6UR5FL4EG135868,Ram,2500,Pau Granite Crystal,S
2014,3C6UR5HL5EG135858,Ram,2500,Pau Granite Crystal,S
2014,3C6UR5HL0EG135847,Ram,2500,Pau Granite Crystal,S
2014,3C6TR5CTXEG146745,Ram,2500,Pw7 Bright White Cle,S
2014,1C4BJWEG6EL215614,Jeep,Wrangler Unlimited,Pbj Hydro Blue Pearl,S
2014,2C4RC1BG6ER286240,Chrysler,Town & Country,Pfs Cashmere / Sands,S
2014,1C3CDZAG7EN130082,Dodge,Avenger,White,S
2014,1C3CDZAB7EN129969,Dodge,Avenger,Blue,S
2014,1C3CDZAG4EN165601,Dodge,Avenger,Silver,O
2009,1D3HB13T29S751098,Dodge,Ram 1500,White,S
2014,5TFRY5F19EX161748,Toyota,Tundra,01G3/Magnetic Gray M,S
2014,1C4NJCBB3ED696758,Jeep,Compass,Prp Deep Cherry Red,S
2010,3N1BC1AP3AL424166,Nissan,Versa,NULL,S
2014,5NPEC4AB6EH832070,Hyundai,Sonata,Radiant_Silver,S
2014,5NPEB4AC9EH845990,Hyundai,Sonata,Pearl_White,S
2014,5NPEC4AB7EH856846,Hyundai,Sonata,Silver,S
2014,5NPEB4AC0EH858207,Hyundai,Sonata,Gray,S
2014,5NPEB4AC8EH878253,Hyundai,Sonata,Pearl_White,S
2013,1FMCU9GX6DUA34091,Ford,Escape,White,S
2014,1FADP3F20EL237171,Ford,Focus,Race Red,S
2014,1C4NJRFB7ED588639,Jeep,Patriot,Red,S
2005,3C3EY55E65T318221,Chrysler,Pt Cruiser,Blue,S
2014,1FTFW1ET1EKD52405,Ford,F150,Kodiak Brown,S
2005,YV1CZ592651162117,Volvo,Xc90,Gray,S
2013,5YFBU4EE1DP169562,Toyota,Corolla,Red,S
2008,5TFBV54128X037533,Toyota,Tundra,White,S
2011,4T1BF3EK4BU634079,Toyota,Camry,White,S
2010,1N4BL2AP1AN558148,Nissan,Altima,Blue,S
2014,3C4PDCBG2ET174791,Dodge,Journey,Pps Fathom Blue Pear,S
2014,3C4PDCBB4ET181617,Dodge,Journey,Pps Fathom Blue Pear,S
2014,3C4PDCBB7ET185032,Dodge,Journey,Pw3 White,S
2014,2C3CCABT0EH165037,Chrysler,300,Pau Granite Crystal,S
2014,2C3CCABT9EH165036,Chrysler,300,Pau Granite Crystal,S
2014,1C4PJMDS7EW190043,Jeep,Cherokee,Granite,S
2014,1C6RR7KT7ES155693,Ram,1500,Black,S
2014,1C6RR7KT1ES143300,Ram,1500,Flame Red,S
2014,1C6RR7KT1ES251190,Ram,1500,White,S
2014,1C6RR7KTXES251186,Ram,1500,Silver,S
2014,1C4NJPBA0ED714552,Jeep,Patriot,Pbu True Blue Pearl,S
2014,1C4NJPBA4ED715395,Jeep,Patriot,Px8 Black Clear Coat,S
2014,1C4NJPBA2ED715394,Jeep,Patriot,Ptw Rugged Brown Pea,S
2014,1C4NJPBA1ED729951,Jeep,Patriot,Pau Granite Crystal,S
2014,1C4NJPBA3ED730115,Jeep,Patriot,Px8 Black Clear Coat,S
2014,3C63R3JL5EG157465,Ram,3500,Ps2 Bright Silver Me,S
2014,1HGCR2F59EA169762,Honda,Accord,Silver,S
2014,3C63RRKL9EG164369,Ram,3500,Px8 Black Clear Coat,S
2014,3C63RRML5EG167069,Ram,3500,Pau Granite Crystal,S
